SMILES	Activity
C1=CC=C(C2=NOC(C3=NOC(C4=CC=CC=C4)=C3)=C2)C=C1	0
CCOC(OCC)C1=CC(C2=NOC(C(OCC)OCC)=C2)=NO1	0
O=C1OC(C2=CC=CC=C2)=CC2=CC=NC=C12	0
CC1=CC2=CC=NC=C2C(=O)N1CC1=CNC2=CC=CC=C12	0
C#CCC(O)(C1=CC=CC=C1)C1=CC=C(C)C=C1	0
CCN(C)CCC1=C(C)C2=CC(OC)=CC=C2N1	0
O=C1N(C2=CC=CC=C2)N(C2=CC=CC=C2)C(=O)C1(O)N1CCCCC1	0
O=C1N(C2=CC=CC=C2)N(C2=CC=CC=C2)C(=O)C1(O)N1CCCC1	0
O=C1N(C2=CC=CC=C2)N(C2=CC=CC=C2)C(=O)C1(O)O	0
O=C1C(=O)N(C2=CC=CC=C2)N(C2=CC=CC=C2)C1=O	0
O=C1C(C(C2C(=O)N(C3=CC=CC=C3)N(C3=CC=CC=C3)C2=O)C(Cl)(Cl)Cl)C(=O)N(C2=CC=CC=C2)N1C1=CC=CC=C1	0
O=C1C(=CC2=CNC3=CC=CC=C23)C(=O)N(C2=CC=CC=C2)N1C1=CC=CC=C1	0
O=C1C(=CC2=CC=CN2)C(=O)N(C2=CC=CC=C2)N1C1=CC=CC=C1	0
O=C1C(=CC2=CC=C(C=C3C(=O)N(C4=CC=CC=C4)N(C4=CC=CC=C4)C3=O)C=C2)C(=O)N(C2=CC=CC=C2)N1C1=CC=CC=C1	0
OC=C1N=NN2C=CC=C12	0
OC=C1C=CN2N=NC=C12	0
C=NN1C=C2N=CC=C2O1	0
C=NC1=C2C=CN=C2ON1	0
O=NC1=CNC2=C1NC=C2	0
O=CC1=C2NNN=C2C=C1	0
C=CC1=COC2=NNN=C12	0
O=CN1N=CC2=CC=CN21	0
OC=C1C=NN2C=NC=C12	0
N=CN1OC=C2C=CN=C21	0
OC=C1N=NC2=CC=CN12	0
O=CC1=CC=C2NN=CN12	0
N=CC1=CC2=CNN=C2O1	0
C=NC1=C2C=CON2C=N1	0
O=CC1=NC2=C(NC=C2)N1	0
C=NC1=CON2N=CC=C12	0
O=CC1=CN2C=NC=C2N1	0
O=NC1=CNN2C=CC=C12	0
C=NC1=NN2OC=CC2=C1	0
OC=C1C=NN2C=CN=C12	0
C=NC1=COC2=NC=CN12	0
C=C1C=CN2C(=N)ON=C12	0
C=CC1=NC2=C(N=CO2)N1	0
C=NC1=CON2C=CN=C12	0
C=NC1=COC2=CC=NN12	0
C1=CC2=CN=CN2N=N1	0
C1=CN2N=NC=NC2=C1	0
C1=NC2=CN=CN2N=C1	0
C=NN1C=CC2=NOC=C21	0
C=CN1C=C2N=COC2=N1	0
