Smiles	Activity
CN1CCc2c(c3ccccc3n2CCc2cccnc2)C1	0
Cc1[nH]c2ccc(NS(=O)(=O)c3ccccc3)cc2c1C1=CCNCC1	1
CSc1nc2c(C)cc(Cc3ccccc3)cn2c(=N)c1S(=O)(=O)c1ccccc1	1
CNc1nn2c(C)cc(COC)nc2c1S(=O)(=O)c1ccccc1	1
CN1CCc2c(c3cc(F)ccc3n2CCc2cccnc2)C1	0
CCc1nc2c(N3CCNCC3)ccnc2n1Cc1cccc(F)c1	1
Cl.O=S(=O)(c1cccc2ccccc12)c1n[nH]c2ccc(NC3CCCNC3)cc12	1
O=S(=O)(c1cccc(F)c1)c1ccc2c3c(oc2c1)C1(CCOC1)NCC3	1
Cl.O=S(=O)(c1ccc(F)cc1)c1n[nH]c2ccc(NC3CCNCC3)cc12	0
Cl.O=S(=O)(c1cccc(F)c1)c1n[nH]c2ccc(NC3CCNCC3)cc12	1
COc1ccc(S(=O)(=O)NCC2(c3cccc4ccc(Br)cc34)CC2)cc1N1CCNCC1	1
CSc1nn2cc3c(nc2c1S(=O)(=O)c1ccccc1)CCN(C)C3	0
CB1C=Cc2cccc(OCC(O)CN(C)C)c2N1	0
CSc1nn2cc3c(nc2c1S(=O)(=O)c1ccccc1)CCCC3	0
Cc1cc(C)n2ncc(S(=O)(=O)c3ccccc3)c2n1	0
COc1ccc(CCn2c3c(c4cc(F)ccc42)CN(C)CC3)cc1	0
CNc1nn2c3c(c(C)nc2c1S(=O)(=O)c1ccccc1)CN(C)CC3	1
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1	0
CN(C)CCC(=O)Nc1cccc2c(S(=O)(=O)c3cccc4ccccc34)n[nH]c12.Cl	1
CN1CCc2[nH]c3ccc(S(=O)(=O)Nc4cccc(F)c4)cc3c2C1.Cl	1
O=S(=O)(c1ccc(Br)s1)n1cc(C2CCN(Cc3ccccc3)C2)c2ccccc21	0
O=S(=O)(c1ccccc1F)c1cn(C2CCCNC2)c2ncccc12	1
CSc1nc2c3ncccc3ccn2c(=N)c1S(=O)(=O)c1ccccc1	1
CNc1nn2c(-c3cccnc3)ccnc2c1S(=O)(=O)c1ccccc1	0
CN1CCN(c2ccc3[nH]nc(S(=O)(=O)c4ccc(F)cc4)c3c2)CC1	0
C[C@@H]1CC(=O)c2c(N3CCN(C)CC3)cccc2N1S(=O)(=O)c1ccc2ccccc2c1	0
CNc1nn2c(C)cc(C)nc2c1S(=O)(=O)c1ccc(F)c(Cl)c1	1
CN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2	0
CN1CCC(n2cc(S(=O)(=O)c3cccc(Cl)c3)c3ccccc32)C1	1
CC(=O)c1ccc2c(n1)c(S(=O)(=O)c1cccc(F)c1)cn2CCN(C)C	1
CN1CCC(C2=CCc3ccc(NS(=O)(=O)c4c(Cl)nc5sccn45)cc32)C1	0
O=C(CNC(=O)c1cccc(C(F)(F)F)c1)N[C@@H]1CCN(CCC2CCN(C(=O)c3ccccc3F)CC2)C1	0
Cc1[nH]c2ccc(Cl)cc2c1C1=CC2CCC(C1)N2C	1
CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C(=O)Nc2ccccc2)C1	0
COc1ccc(N2CCc3c(NS(=O)(=O)c4cccc(F)c4)n[nH]c3C2=O)cc1	0
CN1CCC[C@H]1Cc1cn(S(=O)(=O)c2ccc(I)cc2)c2ccccc12	1
CN(C)CCC=C1c2ccccc2CCc2ccccc21	0
COc1ccc(S(=O)(=O)NCC2(c3cccc4ccccc34)CC2)cc1N1CCN(C)CC1	1
CC(C)Cc1cc(CNS(=O)(=O)c2cccc3ccccc23)nn1-c1ccccc1	0
CN1CCc2c(c3cc(C(F)(F)F)ccc3n2CCc2ccncc2)C1	0
CCc1nc2c(N3CCNCC3)nccc2n1S(=O)(=O)c1cccc(Cl)c1	1
COc1cccc(S(=O)(=O)c2ccc3c4c(oc3c2)CNCC4)c1	1
CN1CCC[C@H]1Cc1cn(S(=O)(=O)c2ccccc2)c2ccccc12	1
CN1CCN(Cc2cccc3c2ccn3S(=O)(=O)c2ccccc2Br)CC1	0
CNc1nn2c(N)cc(C)nc2c1S(=O)(=O)c1ccccc1	1
CN(C)CCC(=O)Nc1ccc2cnn(S(=O)(=O)c3cccc4ccccc34)c2c1	1
CSc1nn2c3c(cnc2c1S(=O)(=O)c1ccccc1)CCC3	1
CSc1nn2cc3c(nc2c1S(=O)(=O)c1ccc(F)cc1)CCN(C)C3	0
Cc1ccc(S(=O)(=O)n2c3c(c4cc(S(=O)(=O)c5ccccc5)ccc42)CN(C)CC3)cc1.Cl	0
COc1ccccc1S(=O)(=O)n1c2c(c3ccccc31)CCNCC2	0
CCN(CC)CCC(=O)Nc1cccc2c(S(=O)(=O)c3cccc4ccccc34)n[nH]c12.Cl	0
O=C1c2[nH]nc(NS(=O)(=O)c3cccc4ccccc34)c2CCN1C1CCNCC1	0
O=S(=O)(c1ccccc1Br)n1cc(C2CCN(Cc3ccccc3)C2)c2ccccc21	1
CCc1[nH]c2ccc(Cl)cc2c1C1=CCNCC1	1
O=C(CCCc1ccccc1)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1	0
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1	1
CC(C)Oc1cccc(S(=O)(=O)c2ccc3c(c2)O[C@H]2CNCC[C@@H]32)c1.Cl	0
O=S(=O)(Nc1ccc2[nH]cc(C[C@@H]3CCCN3)c2c1)c1ccc(C(F)(F)F)cc1	1
CC(C)c1ccc(S(=O)(=O)c2ccc3[nH]nc(C4CCN(C)CC4)c3c2)cc1	0
CSc1nn2c(C)cc(C)nc2c1S(=O)(=O)c1ccc(F)cc1	0
CC(C)c1ccc(S(=O)(=O)n2cc(N3CCN(C)CC3)c3ccccc32)cc1	0
CN1CCc2c(c3cc(C(F)(F)F)ccc3n2CCc2ccccn2)C1	0
CNc1nn2c(C)c(N)c(C)nc2c1S(=O)(=O)c1ccccc1	1
CSc1nn2cccnc2c1S(=O)(=O)c1ccccc1	0
CNCCn1cc(S(=O)(=O)c2cccc3ccccc23)c2ccccc21	0
Cc1cn(S(=O)(=O)c2ccc(N)cc2)c2ccccc12	0
NCCc1c[nH]c2ccc(O)cc12	0
CCCCN1CCC(COc2nc3ccsc3n3cccc23)CC1	0
CN1CCC(c2n[nH]c3ccc(S(=O)(=O)c4ccc5ccccc5c4)cc23)CC1	0
Cl.N=C(N)N/N=C1\CCc2cc(NS(=O)(=O)c3c(Cl)nc4sccn34)ccc21	1
CN(C)CCCc1c(-c2cccc(Br)c2)[nH]c2ccccc12	1
Cc1cc(C)n2nc(OCCO)c(S(=O)(=O)c3ccccc3)c2n1	0
CCN1CCCC(n2cc(S(=O)(=O)c3ccccc3)c3cccnc32)C1	1
CC(C)n1nc(S(=O)(=O)c2cccc3ccccc23)c2cc(N3CCNCC3)ccc21	1
CC(C)N(c1cccc(N2CCN(C)CC2)c1)S(=O)(=O)c1ccccc1	0
O=S(=O)(NCCCN1CCN(c2cccc(C(F)(F)F)c2)CC1)c1ccc2ccccc2c1	0
CN1CCc2c(c3cc(F)ccc3n2CCc2ccc(C(F)(F)F)cc2)C1	0
COc1cccc(S(=O)(=O)c2cccc3oc(N4CCNCC4)nc23)c1	0
COc1ccc(S(=O)(=O)NC(C)CCN2CCN(c3cccc(C(F)(F)F)c3)CC2)cc1	0
O=S(=O)(c1ccc(Cl)cc1)c1cn(C2CCCNC2)c2ncccc12	0
CN1CCN(S(=O)(=O)c2ccc3[nH]c4c(c3c2)CN(C)CC4)CC1	0
COc1ccc(S(=O)(=O)NCC2(c3cccc4ccccc34)CC2)cc1N1CCNCC1	1
CSc1nc2ccccn2c(=N)c1S(=O)(=O)c1ccc(F)cc1	1
Cc1ccc(S(=O)(=O)Nc2ccc3snc(/N=C/N(C)C)c3c2)cc1	0
CN1CCC[C@H]1Cc1c[nH]c2ccc(NS(=O)(=O)c3ccccc3Br)cc12	1
Cc1c(C2=CCNCC2)c2cc(Cl)ccc2n1C	1
CN1CCC(c2n[nH]c3ccc(S(=O)(=O)c4cccc5ccccc45)cc23)CC1	0
COc1ccc(S(=O)(=O)NCCc2cccc3ccc(Br)cc23)cc1N1CCN(C)CC1	1
O=S(=O)(c1ccccc1)c1cnc2c(N3CCNCC3)cccc2c1	1
CSc1nn2c(C)cc(C)nc2c1S(=O)(=O)c1cccc(F)c1	1
