Smiles Activity
S(c1ccc(cc1)F)(c1c(nn2c1nc(C)cc2)SC)(=O)=O 1
O=C([C@H]1CN(C)[C@@H]2Cc3c4c(cccc4C2=C1)[nH]c3)N[C@H](CO)C 1
N1CCCC(C1)n1c2c(cccn2)c(S(c2ccccc2F)(=O)=O)c1 1
c1cc(S(=O)(c2n[nH]c3c2cc(cc3)N2CCC(CC2)N)=O)cc2c1cccc2 1
c12c(S(=O)(=O)c3c4c(oc(n4)N4CCNCC4)ccc3)cccc2cccc1 1
c1cc2ccccc2c(S(=O)(c2nn(Cc3ccccc3)c3ccc(N4CCNCC4)cc23)=O)c1 1
C1CN(C)CCN1c1c(OC)ccc(c1)NS(=O)(c1ccc(I)cc1)=O 1
c1cc(C(C)(c2ccc(O)cc2)C)ccc1O 0
c1cc(CCC(c2c(OCC(O)CNCCC)cccc2)=O)ccc1 0
c1cc(ccc1S(Nc1cc2c(cc1)nc(s2)N1CCN(CC1)C)(=O)=O)C(C)C 0
O(C)Cc1cc(C)n2nc(c(c2n1)S(c1ccccc1)(=O)=O)SC 0
O=S(c1ccc(cc1)F)(Nc1c2c(C(=O)N(CC2)c2ccc(cc2)C)[nH]n1)=O 0
S(c1nn2c(c(c(nc2c1S(c1ccccc1)(=O)=O)C)Cl)C)C 1
Cc1nc2c(S(c3ccccc3)(=O)=O)c(NC)nn2c(N)c1 1
c12c(ccc(c1)F)n(cc2C1CCNCC=1)S(c1ccc(cc1)F)(=O)=O 1
O=S(N(c1cc(ccc1)N1CCN(CC1)C)CC1CC1)(=O)c1cc2c(cccc2)cc1 1
c1(Cl)ccc(C(C(Cl)Cl)c2ccccc2Cl)cc1 0
CCc1cc2n(cc1)c(=N)c(c(n2)SC)S(=O)(=O)c1ccccc1 1
c1c2Sc3c(C(N4CCN(CC4)C)Cc2ccc1)cc(SC)cc3 0
Cl.c1ccccc1Cc1nc(c2CCNCCc2n1)Nc1ccccc1 1
c1c(Cc2c3n(ccc2)c(c(c(SC)n3)S(=O)(=O)c2ccccc2)=N)cccc1 0
c12c(cc(NS(c3c4c(cccc4)ccc3)(=O)=O)cc2)nc(s1)N1CCN(CC1)C 0
C12[C@H](N(C[C@@H](C=1)C(N(CC)CC)=O)C(Nc1ccccc1)=O)Cc1c3c(cccc32)[nH]c1 0
c1cc2c(nc1)n(CCNC)cc2S(=O)(c1n2c(scc2)nc1Cl)=O 1
c1(Br)ccc(S(Nc2ccc3[nH]cc(C[C@@H]4CCCN4C)c3c2)(=O)=O)cc1 1
c1c2c(cccc2S(c2n[nH]c3ccc(N4C[C@@H](CC4)N(C)C)cc23)(=O)=O)ccc1 1
c1cc(S(n2c3c(cccc3)c(/C=N/N3CCN(CC3)C)c2-c2ccccc2)(=O)=O)c2cccc(c2c1)N(C)C 0
c1c(ccc(N)c1)S(=O)(=O)Nc1cc(nc(n1)OC)OC 0
C1CCCc2c1n1c(nc2)c(c(SC)n1)S(c1ccccc1)(=O)=O 1
C(CN)C(Nc1c2c(n(nc2)S(=O)(=O)c2cccc3c2cccc3)ccc1)=O 1
c1(Cl)cc2c(cc1)[nH]c(c2C1=CCN(CCCC)CC1)C 1
S(=O)(=O)(Nc1cc(OC)nc(n1)OC)c1ccc(N)cc1 0
[N+](=O)(c1c2c(cn(c2ccc1)S(c1cc2ccccc2cc1)(=O)=O)/C=N/N=C/N(C)C)[O-] 0
n1(c2ccc(cc2c2CN(C)CCc12)F)/C=C\c1ccccc1 0
c1ccc(OC)cc1S(c1ccc2c3c(oc2c1)C(NCC3)(C)C)(=O)=O 1
n12nc(NC)c(S(=O)(=O)c3ccccc3)c1nccc2C 1
